timestamp,price,returns,log_returns,SMA_20,SMA_50
2024-12-16 00:00:00,104721.50151808978,,,,
2024-12-17 00:00:00,106074.10723541168,0.012916217755799098,0.012833514793611297,,
2024-12-18 00:00:00,106034.913402645,-0.00036949481629566794,-0.0003695630963252319,,
2024-12-19 00:00:00,100355.5761481501,-0.05356101186152562,-0.05504877090860486,,
2024-12-20 00:00:00,97851.35377075805,-0.024953495097224887,-0.02527011178559204,,
2024-12-21 00:00:00,97691.43431692653,-0.0016343100802281851,-0.0016356470217972997,,
2024-12-22 00:00:00,97202.82496847633,-0.005001557729872985,-0.00501410738243106,,
2024-12-23 00:00:00,95094.27394862173,-0.02169228127411338,-0.02193101761234826,,
2024-12-24 00:00:00,94644.91085464321,-0.004725448497785556,-0.004736648727540294,,
2024-12-25 00:00:00,98695.71400782601,0.042800010234085084,0.041909412891253564,,
2024-12-26 00:00:00,99344.95417367229,0.0065782002022376496,0.006556658263139287,,
2024-12-27 00:00:00,95678.31244565405,-0.03690818279112906,-0.03760652675618751,,
2024-12-28 00:00:00,94331.94727053077,-0.01407179057310426,-0.014171736942142382,,
2024-12-29 00:00:00,95184.61945288602,0.009039060541280897,0.008998452754268724,,
2024-12-30 00:00:00,93663.44751964067,-0.015981278719071734,-0.016110356418869543,,
2024-12-31 00:00:00,92627.28213113277,-0.01106264413650393,-0.011124290251796296,,
2025-01-01 00:00:00,93507.85874741491,0.009506665811866322,0.009461761831536675,,
2025-01-02 00:00:00,94384.1761153871,0.009371590577636146,0.009327949667277409,,
2025-01-03 00:00:00,96852.14681235075,0.026148140488575944,0.025812122766966015,,
2025-01-04 00:00:00,98084.34279280754,0.012722443652634308,0.012642193303310425,97601.28488165126,
2025-01-05 00:00:00,98256.73876849933,0.0017576299211787827,0.0017560870972533273,97278.04674417173,
2025-01-06 00:00:00,98364.58946599838,0.0010976417378674164,0.001097039769631767,96892.57085570108,
2025-01-07 00:00:00,102229.39453189743,0.03929061349089458,0.03853837800298931,96702.2949121637,
2025-01-08 00:00:00,96952.09886774956,-0.05162209644605942,-0.05300222371905215,96532.12104814367,
2025-01-09 00:00:00,95016.71440989176,-0.019962274983833184,-0.02016421314397372,96390.38908010036,
2025-01-10 00:00:00,92376.27578346101,-0.02778920154026998,-0.02818262719143621,96124.6311534271,
2025-01-11 00:00:00,94736.6267420969,0.02555148428118903,0.025230501347335663,96001.32124210811,
2025-01-12 00:00:00,94559.55167224213,-0.0018691299864076472,-0.0018708789896100513,95974.58512828912,
2025-01-13 00:00:00,94454.77089638807,-0.0011080929848023002,-0.0011087073737424359,95965.07813037638,
2025-01-14 00:00:00,94456.3493746993,1.6711472552000117e-05,1.671133291689836e-05,95753.10989872004,
2025-01-15 00:00:00,96574.07768799194,0.022420179557139264,0.022172541884869123,95614.56607443602,
2025-01-16 00:00:00,100313.15239828422,0.03871716717163309,0.03798645867029524,95846.30807206752,
2025-01-17 00:00:00,100044.57926776377,-0.0026773471284613493,-0.002680937632399997,96131.93967192918,
2025-01-18 00:00:00,104160.69358484233,0.041142802010911694,0.04031895794904692,96580.74337852698,
2025-01-19 00:00:00,104334.61575724394,0.001669748601087706,0.0016683561207382067,97114.30179040715,
2025-01-20 00:00:00,101275.33714814208,-0.029321798780760466,-0.029760275280057365,97546.70454125761,
2025-01-21 00:00:00,101764.90860170545,0.004834063922663168,0.0048224173540825505,97959.55703397215,
2025-01-22 00:00:00,106182.2368201815,0.04340718504219265,0.042491497764343925,98549.46006921187,
2025-01-23 00:00:00,103673.53509537787,-0.023626378572642937,-0.023909956982149278,98890.52948336322,
2025-01-24 00:00:00,104067.60991206947,0.0038011129487294237,0.003793906973615983,99189.69283932632,
2025-01-25 00:00:00,104835.19253555956,0.007375807171305704,0.007348738924215794,99518.61552767934,
2025-01-26 00:00:00,104796.04077738234,-0.00037346006842065016,-0.0003735298219993273,99840.18809324854,
2025-01-27 00:00:00,102552.24874280207,-0.02141103822182311,-0.021643579796107294,99856.33080379377,
2025-01-28 00:00:00,101958.46953745594,-0.005790016431870826,-0.0058068435613526335,100106.64933727909,
2025-01-29 00:00:00,101313.11264498268,-0.006329605528613502,-0.006349722414583251,100421.46924903363,
2025-01-30 00:00:00,103718.97939813645,0.023746844710855086,0.02346927409087364,100988.6044297674,
2025-01-31 00:00:00,104781.5135100103,0.010244355642907044,0.010192237871411826,101490.84876816308,
2025-02-01 00:00:00,102382.39409722165,-0.02289639968370427,-0.02316259334279779,101881.99088941205,
2025-02-02 00:00:00,100674.78762544956,-0.016678712065968604,-0.01681936795001983,102192.99172586511,
2025-02-03 00:00:00,97568.31653024875,-0.0308564951411483,-0.03134258222690729,102348.5900836426,99208.01219637603
2025-02-04 00:00:00,101466.8606657039,0.0399570708411936,0.03917943426400582,102593.22923252819,99142.91937932832
2025-02-05 00:00:00,98118.43921664466,-0.033000148295620035,-0.03355693688523508,102483.4935734462,98983.80601895296
2025-02-06 00:00:00,96582.88682919052,-0.01564998790964922,-0.015773741833467855,102310.40895151754,98794.76548748388
2025-02-07 00:00:00,96635.41875332211,0.0005439050939168855,0.0005437572311544015,101934.14520994155,98720.3623395873
2025-02-08 00:00:00,96558.4563096667,-0.0007964206566111187,-0.0007967379680290219,101545.33723756268,98694.50439036549
2025-02-09 00:00:00,96558.23762501091,-2.2647903057393393e-06,-2.264792870380776e-06,101309.48226140613,98671.84045652718
2025-02-10 00:00:00,96548.57865379585,-0.00010003259641677698,-0.00010003760001063435,101048.66576401066,98658.75553023357
